Date,Day,Week,Moon_Sign,Element,Volatility_Factor,Risk_Level,Primary_Sectors,Trading_Strategy,Position_Sizing,Action
2025-11-17,Monday,47,Libra,Air,0.8,Low,"Luxury, Fashion",Range Trading,Slightly Increased (110-120%),ACCUMULATE - Good buying opportunity
2025-11-18,Tuesday,47,Scorpio,Water,1.5,Very High,"Mining, Oil",Deep Value,Very Small (25-40% normal),CAUTION - Minimize exposure
2025-11-19,Wednesday,47,Scorpio,Water,1.5,Very High,"Mining, Oil",Deep Value,Very Small (25-40% normal),CAUTION - Minimize exposure
2025-11-20,Thursday,47,Scorpio,Water,1.5,Very High,"Mining, Oil",Deep Value,Very Small (25-40% normal),CAUTION - Minimize exposure
2025-11-21,Friday,47,Sagittarius,Fire,1.0,Medium,"Export, Education",Growth Investing,Normal (100%),MOMENTUM - Follow trends
2025-11-24,Monday,48,Capricorn,Earth,0.6,Very Low,"Infrastructure, Cement",Long-term Holdings,Increased (120-150%),ACCUMULATE - Good buying opportunity
2025-11-25,Tuesday,48,Aquarius,Air,1.1,Medium,"Technology, Innovation",Innovation Focus,Normal (100%),BALANCED - Normal trading
2025-11-26,Wednesday,48,Aquarius,Air,1.1,Medium,"Technology, Innovation",Innovation Focus,Normal (100%),BALANCED - Normal trading
2025-11-27,Thursday,48,Aquarius,Air,1.1,Medium,"Technology, Innovation",Innovation Focus,Normal (100%),BALANCED - Normal trading
2025-11-28,Friday,48,Pisces,Water,1.2,Medium-High,"Chemicals, Liquids",Intuitive Trading,Small (50-70% normal),CAREFUL - Reduced positions
2025-12-01,Monday,49,Aries,Fire,1.4,High,"Defense, Steel",Momentum Trading,Very Small (25-40% normal),CAUTION - Minimize exposure
2025-12-02,Tuesday,49,Aries,Fire,1.4,High,"Defense, Steel",Momentum Trading,Very Small (25-40% normal),CAUTION - Minimize exposure
2025-12-03,Wednesday,49,Taurus,Earth,0.7,Low,"Banking, FMCG",Value Investing,Increased (120-150%),ACCUMULATE - Good buying opportunity
2025-12-04,Thursday,49,Taurus,Earth,0.7,Low,"Banking, FMCG",Value Investing,Increased (120-150%),ACCUMULATE - Good buying opportunity
2025-12-05,Friday,49,Gemini,Air,1.2,Medium-High,"IT, Telecom",Swing Trading,Small (50-70% normal),CAREFUL - Reduced positions
2025-12-08,Monday,50,Leo,Fire,1.1,Medium,"Banking, Government",Blue Chip Focus,Normal (100%),MOMENTUM - Follow trends
2025-12-09,Tuesday,50,Leo,Fire,1.1,Medium,"Banking, Government",Blue Chip Focus,Normal (100%),MOMENTUM - Follow trends
2025-12-10,Wednesday,50,Virgo,Earth,0.9,Low-Medium,"Healthcare, IT Services",Technical Analysis,Slightly Increased (110-120%),BALANCED - Normal trading
2025-12-11,Thursday,50,Virgo,Earth,0.9,Low-Medium,"Healthcare, IT Services",Technical Analysis,Slightly Increased (110-120%),BALANCED - Normal trading
2025-12-12,Friday,50,Virgo,Earth,0.9,Low-Medium,"Healthcare, IT Services",Technical Analysis,Slightly Increased (110-120%),BALANCED - Normal trading
